# R (a.u.)   X(1)1Sigma+          A(2)1Sigma+         (3)1Sigma+         (4)1Sigma+           (5)1Sigma+         (6)1Sigma+          (7)1Sigma+           (1)1Pi             (2)1Pi              (3)1Pi              (4)1Pi               (5)1Pi
    15.300   -0.5100000000E-01    0.4210251225E+01    0.1805076783E+01    0.9637342513E+00    0.9578765539E-01    0.7128451010E+00    0.1535074002E+00    0.1974427525E+01    0.3716491354E+01    0.4399163287E+00    0.1153533232E+00    0.3706012732E+00
    15.400   -0.4771692593E-01    0.4200900000E+01    0.1802700000E+01    0.9558000000E+00    0.4100000000E-01    0.7185000000E+00    0.1573000000E+00    0.1982600000E+01    0.3715600000E+01    0.4350000000E+00    0.1107000000E+00    0.3665000000E+00
    15.500   -0.4460000000E-01    0.4192280941E+01    0.1800156633E+01    0.9475352100E+00    0.3173684804E-01    0.7179843216E+00    0.1610806603E+00    0.1991099053E+01    0.3714439137E+01    0.4299497366E+00    0.1062774208E+00    0.3626627669E+00
    15.600   -0.4165804785E-01    0.4184300000E+01    0.1797400000E+01    0.9389000000E+00    0.5290000000E-01    0.7139000000E+00    0.1648000000E+00    0.1999900000E+01    0.3713000000E+01    0.4248000000E+00    0.1021000000E+00    0.3590000000E+00
    15.700   -0.3890000000E-01    0.4176875009E+01    0.1794384184E+01    0.9298499087E+00    0.8318995244E-01    0.7083551126E+00    0.1683699585E+00    0.2008976261E+01    0.3711277096E+01    0.4195847251E+00    0.9818699350E-01    0.3554351592E+00
    15.800   -0.3632588266E-01    0.4170000000E+01    0.1791200000E+01    0.9204000000E+00    0.1125000000E+00    0.7019000000E+00    0.1718000000E+00    0.2018300000E+01    0.3709300000E+01    0.4143000000E+00    0.9450000000E-01    0.3520000000E+00
    15.900   -0.3390000000E-01    0.4163681522E+01    0.1787944130E+01    0.9105901554E+00    0.1352783422E+00    0.6947077280E+00    0.1751020058E+00    0.2027845901E+01    0.3707102477E+01    0.4089363632E+00    0.9099960521E-01    0.3487340962E+00
    16.000   -0.3158842151E-01    0.4157900000E+01    0.1784600000E+01    0.9005000000E+00    0.1530000000E+00    0.6870000000E+00    0.1782000000E+00    0.2037600000E+01    0.3704700000E+01    0.4035000000E+00    0.8770000000E-01    0.3456000000E+00
    16.100   -0.2940000000E-01    0.4152623909E+01    0.1781151799E+01    0.8901894833E+00    0.1683341633E+00    0.6789764860E+00    0.1810095155E+00    0.2047552621E+01    0.3702100500E+01    0.3980073291E+00    0.8461458924E-01    0.3425534595E+00
    16.200   -0.2734543130E-01    0.4147800046E+01    0.1777700034E+01    0.8796001076E+00    0.1816998767E+00    0.6707000839E+00    0.1834999767E+00    0.2057699898E+01    0.3699300029E+01    0.3925000550E+00    0.8170002848E-01    0.3396000290E+00
    16.300   -0.2540000000E-01    0.4143372973E+01    0.1774348773E+01    0.8686772201E+00    0.1930596483E+00    0.6621990694E+00    0.1856473655E+00    0.2068030822E+01    0.3696295605E+01    0.3870094787E+00    0.7891711943E-01    0.3367521494E+00
    16.400   -0.2354235329E-01    0.4139300000E+01    0.1771100000E+01    0.8575000000E+00    0.2028000000E+00    0.6535000000E+00    0.1874000000E+00    0.2078500000E+01    0.3693100000E+01    0.3815000000E+00    0.7630000000E-01    0.3340000000E+00
    16.500   -0.2180000000E-01    0.4135546830E+01    0.1767940708E+01    0.8461519462E+00    0.2113518903E+00    0.6446149776E+00    0.1887259555E+00    0.2089061298E+01    0.3689729662E+01    0.3759424139E+00    0.7387951520E-01    0.3313255262E+00
    16.600   -0.2019765553E-01    0.4132100000E+01    0.1764900000E+01    0.8346000000E+00    0.2189000000E+00    0.6355000000E+00    0.1897000000E+00    0.2099700000E+01    0.3686200000E+01    0.3704000000E+00    0.7160000000E-01    0.3287000000E+00
    16.700   -0.1870000000E-01    0.4128939710E+01    0.1762025895E+01    0.8228024936E+00    0.2255702821E+00    0.6261160187E+00    0.1903863096E+00    0.2110411486E+01    0.3682523246E+01    0.3649333658E+00    0.6940232077E-01    0.3260957461E+00
    16.800   -0.1726702460E-01    0.4125999971E+01    0.1759399975E+01    0.8107998792E+00    0.2315000561E+00    0.6164999029E+00    0.1907000009E+00    0.2121200108E+01    0.3678699961E+01    0.3594999456E+00    0.6729997956E-01    0.3234999741E+00
    16.900   -0.1590000000E-01    0.4123214253E+01    0.1757096938E+01    0.7986412971E+00    0.2368151495E+00    0.6066992047E+00    0.1905550887E+00    0.2132068429E+01    0.3674731002E+01    0.3540480814E+00    0.6531718095E-01    0.3209064224E+00
    17.000   -0.1460924608E-01    0.4120560033E+01    0.1755130381E+01    0.7863285220E+00    0.2415840573E+00    0.5967282914E+00    0.1900102367E+00    0.2143002891E+01    0.3670630079E+01    0.3485929162E+00    0.6344830488E-01    0.3183200616E+00
    17.100   -0.1340000000E-01    0.4118025796E+01    0.1753498631E+01    0.7738514876E+00    0.2458609413E+00    0.5865932340E+00    0.1891602694E+00    0.2153985907E+01    0.3666414118E+01    0.3431662926E+00    0.6168027537E-01    0.3157486699E+00
    17.200   -0.1227099109E-01    0.4115600024E+01    0.1752200011E+01    0.7612001274E+00    0.2496999636E+00    0.5763001037E+00    0.1881000113E+00    0.2164999890E+01    0.3662100044E+01    0.3378000533E+00    0.6000001641E-01    0.3132000253E+00
    17.300   -0.1120000000E-01    0.4113267723E+01    0.1751245914E+01    0.7483726045E+00    0.2531576524E+00    0.5658719828E+00    0.1869207970E+00    0.2176033452E+01    0.3657699123E+01    0.3325165288E+00    0.5840063865E-01    0.3106941447E+00
    17.400   -0.1016928956E-01    0.4111000000E+01    0.1750700000E+01    0.7354000000E+00    0.2563000000E+00    0.5554000000E+00    0.1857000000E+00    0.2187100000E+01    0.3653200000E+01    0.3273000000E+00    0.5690000000E-01    0.3083000000E+00
    17.500   -0.9200000000E-02    0.4108760883E+01    0.1750621543E+01    0.7223120263E+00    0.2591813519E+00    0.5449601698E+00    0.1844703546E+00    0.2198205332E+01    0.3648593273E+01    0.3221293599E+00    0.5551075542E-01    0.3060648319E+00
    17.600   -0.8314350655E-02    0.4106500000E+01    0.1751000000E+01    0.7091000000E+00    0.2618000000E+00    0.5345000000E+00    0.1831000000E+00    0.2209300000E+01    0.3643900000E+01    0.3170000000E+00    0.5420000000E-01    0.3039000000E+00
    17.700   -0.7500000000E-02    0.4104176244E+01    0.1751817916E+01    0.6957542896E+00    0.2641419379E+00    0.5239623378E+00    0.1814727839E+00    0.2220332722E+01    0.3639140283E+01    0.3119160321E+00    0.5293134021E-01    0.3017090279E+00
    17.800   -0.6735807817E-02    0.4101799976E+01    0.1753100015E+01    0.6822998650E+00    0.2662000191E+00    0.5133998945E+00    0.1796999821E+00    0.2231300109E+01    0.3634299951E+01    0.3068999503E+00    0.5169998788E-01    0.2994999779E+00
    17.900   -0.6000000000E-02    0.4099384070E+01    0.1754869336E+01    0.6687704274E+00    0.2679759517E+00    0.5028776755E+00    0.1779134580E+00    0.2242214095E+01    0.3629370453E+01    0.3019688685E+00    0.5051384898E-01    0.2973114930E+00
    18.000   -0.5279918076E-02    0.4096900000E+01    0.1757100000E+01    0.6552000000E+00    0.2695000000E+00    0.4924000000E+00    0.1761000000E+00    0.2253100000E+01    0.3624400000E+01    0.2971000000E+00    0.4940000000E-01    0.2952000000E+00
    18.100   -0.4600000000E-02    0.4094312409E+01    0.1759767280E+01    0.6416136299E+00    0.2708043092E+00    0.4819641702E+00    0.1742233355E+00    0.2263973697E+01    0.3619427771E+01    0.2922708570E+00    0.4837573018E-01    0.2932074388E+00
    18.200   -0.3982019877E-02    0.4091600028E+01    0.1762899966E+01    0.6280001363E+00    0.2718999901E+00    0.4716001032E+00    0.1723000194E+00    0.2274799892E+01    0.3614400051E+01    0.2875000473E+00    0.4740000970E-01    0.2913000188E+00
    18.300   -0.3400000000E-02    0.4088753872E+01    0.1766523950E+01    0.6143504281E+00    0.2727942855E+00    0.4613409273E+00    0.1703557533E+00    0.2285540818E+01    0.3609268604E+01    0.2828103334E+00    0.4643325644E-01    0.2894338031E+00
    18.400   -0.2829502416E-02    0.4085800000E+01    0.1770600000E+01    0.6007000000E+00    0.2735000000E+00    0.4512000000E+00    0.1684000000E+00    0.2296200000E+01    0.3604100000E+01    0.2782000000E+00    0.4550000000E-01    0.2876000000E+00
    18.500   -0.2300000000E-02    0.4082759684E+01    0.1775086823E+01    0.5870850500E+00    0.2740185201E+00    0.4411849171E+00    0.1664412068E+00    0.2306787719E+01    0.3598960462E+01    0.2736629455E+00    0.4462877217E-01    0.2858074031E+00
    18.600   -0.1837470458E-02    0.4079600000E+01    0.1780000000E+01    0.5735000000E+00    0.2743000000E+00    0.4313000000E+00    0.1645000000E+00    0.2317300000E+01    0.3593800000E+01    0.2692000000E+00    0.4380000000E-01    0.2841000000E+00
    18.700   -0.1400000000E-02    0.4076282391E+01    0.1785353761E+01    0.5599468723E+00    0.2743066323E+00    0.4215444054E+00    0.1625919196E+00    0.2327733304E+01    0.3588564550E+01    0.2648128853E+00    0.4298915510E-01    0.2825115849E+00
    18.800   -0.9456157501E-03    0.4072799964E+01    0.1791100059E+01    0.5464998664E+00    0.2740999972E+00    0.4118999040E+00    0.1606999811E+00    0.2338100103E+01    0.3583299947E+01    0.2604999572E+00    0.4219999225E-01    0.2809999851E+00
    18.900   -0.5000000000E-03    0.4069160649E+01    0.1797185803E+01    0.5332270764E+00    0.2737424422E+00    0.4023621858E+00    0.1588035605E+00    0.2348404360E+01    0.3578056188E+01    0.2562603904E+00    0.4143958508E-01    0.2795212148E+00
    19.000   -0.9704346305E-04    0.4065400000E+01    0.1803600000E+01    0.5201000000E+00    0.2732000000E+00    0.3930000000E+00    0.1569000000E+00    0.2358600000E+01    0.3572800000E+01    0.2521000000E+00    0.4070000000E-01    0.2781000000E+00
    19.100    0.2641846260E-03    0.4061549917E+01    0.1810340690E+01    0.5070819543E+00    0.2724235925E+00    0.3838690863E+00    0.1549937863E+00    0.2368649541E+01    0.3567498054E+01    0.2480204352E+00    0.3997748316E-01    0.2767660145E+00
    19.200    0.5933204021E-03    0.4057600040E+01    0.1817399928E+01    0.4942001280E+00    0.2714000115E+00    0.3749000892E+00    0.1531000188E+00    0.2378599901E+01    0.3562200053E+01    0.2440000400E+00    0.3930000643E-01    0.2755000124E+00
    19.300    0.9000000000E-03    0.4053527294E+01    0.1824763739E+01    0.4814954577E+00    0.2701382203E+00    0.3660242130E+00    0.1512338459E+00    0.2388497205E+01    0.3556951742E+01    0.2400204784E+00    0.3868800002E-01    0.2742772611E+00
    19.400    0.1195792655E-02    0.4049300000E+01    0.1832400000E+01    0.4690000000E+00    0.2687000000E+00    0.3573000000E+00    0.1494000000E+00    0.2398300000E+01    0.3551700000E+01    0.2361000000E+00    0.3810000000E-01    0.2731000000E+00
    19.500    0.1500000000E-02    0.4044903522E+01    0.1840279147E+01    0.4567365829E+00    0.2671360594E+00    0.3487968188E+00    0.1475958839E+00    0.2407961352E+01    0.3546395128E+01    0.2322602662E+00    0.3749553499E-01    0.2719749768E+00
    19.600    0.1819032058E-02    0.4040400000E+01    0.1848400000E+01    0.4447000000E+00    0.2654000000E+00    0.3405000000E+00    0.1458000000E+00    0.2417500000E+01    0.3541100000E+01    0.2285000000E+00    0.3690000000E-01    0.2709000000E+00
    19.700    0.2100000000E-02    0.4035846119E+01    0.1856757176E+01    0.4328832125E+00    0.2634425408E+00    0.3323760130E+00    0.1439951185E+00    0.2426944886E+01    0.3535880246E+01    0.2248134573E+00    0.3634236012E-01    0.2698728320E+00
    19.800    0.2303079113E-02    0.4031199953E+01    0.1865300086E+01    0.4212998854E+00    0.2612999778E+00    0.3243999209E+00    0.1421999822E+00    0.2436300093E+01    0.3530699948E+01    0.2211999642E+00    0.3579999453E-01    0.2688999906E+00
    19.900    0.2500000000E-02    0.4026411867E+01    0.1873979895E+01    0.4099677376E+00    0.2590187135E+00    0.3165614020E+00    0.1404360909E+00    0.2445559370E+01    0.3525508739E+01    0.2176608016E+00    0.3524750898E-01    0.2679836679E+00
    20.000    0.2756151489E-02    0.4021500000E+01    0.1882800000E+01    0.3989000000E+00    0.2566000000E+00    0.3089000000E+00    0.1387000000E+00    0.2454700000E+01    0.3520300000E+01    0.2142000000E+00    0.3470000000E-01    0.2671000000E+00
    20.100    0.3000000000E-02    0.4016493782E+01    0.1891773478E+01    0.3881080205E+00    0.2540325452E+00    0.3014531602E+00    0.1369854690E+00    0.2463705389E+01    0.3515084657E+01    0.2108182374E+00    0.3418008869E-01    0.2662299704E+00
    20.200    0.3159814929E-02    0.4011400051E+01    0.1900899908E+01    0.3776001036E+00    0.2513000282E+00    0.2942000717E+00    0.1353000167E+00    0.2472599911E+01    0.3509900052E+01    0.2075000329E+00    0.3370000457E-01    0.2654000080E+00
    20.300    0.3300000000E-02    0.4006225647E+01    0.1910163440E+01    0.3673754642E+00    0.2484011839E+00    0.2871136531E+00    0.1336345792E+00    0.2481406330E+01    0.3504777777E+01    0.2042288390E+00    0.3325714891E-01    0.2646339726E+00
    20.400    0.3492088795E-02    0.4001000000E+01    0.1919500000E+01    0.3574000000E+00    0.2454000000E+00    0.2802000000E+00    0.1319000000E+00    0.2490100000E+01    0.3499700000E+01    0.2010000000E+00    0.3280000000E-01    0.2639000000E+00
    20.500    0.3700000000E-02    0.3995741277E+01    0.1928859997E+01    0.3476529205E+00    0.2423503007E+00    0.2734674334E+00    0.1300512619E+00    0.2498656538E+01    0.3494641883E+01    0.1978165013E+00    0.3229132863E-01    0.2631716618E+00
    20.600    0.3871829892E-02    0.3990400000E+01    0.1938300000E+01    0.3382000000E+00    0.2392000000E+00    0.2669000000E+00    0.1283000000E+00    0.2507100000E+01    0.3489600000E+01    0.1947000000E+00    0.3180000000E-01    0.2625000000E+00
    20.700    0.4000000000E-02    0.3984934245E+01    0.1947871572E+01    0.3291003561E+00    0.2358976126E+00    0.2604791143E+00    0.1268228734E+00    0.2515455019E+01    0.3484579690E+01    0.1916676563E+00    0.3139003663E-01    0.2619293805E+00
    20.800    0.4095591637E-02    0.3979399945E+01    0.1957500096E+01    0.3202999132E+00    0.2324999658E+00    0.2541999379E+00    0.1253999850E+00    0.2523700082E+01    0.3479599950E+01    0.1886999706E+00    0.3099999589E-01    0.2613999946E+00
    20.900    0.4200000000E-02    0.3973859084E+01    0.1967103991E+01    0.3117329060E+00    0.2290716502E+00    0.2480659310E+00    0.1237947027E+00    0.2531811121E+01    0.3474676713E+01    0.1857752891E+00    0.3056101339E-01    0.2608483012E+00
    21.000    0.4345803560E-02    0.3968300000E+01    0.1976700000E+01    0.3034000000E+00    0.2256000000E+00    0.2421000000E+00    0.1221000000E+00    0.2539800000E+01    0.3469800000E+01    0.1829000000E+00    0.3010000000E-01    0.2603000000E+00
    21.100    0.4500000000E-02    0.3962697617E+01    0.1986321140E+01    0.2953160487E+00    0.2220617787E+00    0.2363209692E+00    0.1204563362E+00    0.2547683646E+01    0.3464956024E+01    0.1800849901E+00    0.2965917347E-01    0.2597921489E+00
    21.200    0.4621194122E-02    0.3957046868E+01    0.1995967200E+01    0.2874862275E+00    0.2184687205E+00    0.2307118882E+00    0.1188645188E+00    0.2555463309E+01    0.3460141666E+01    0.1773311005E+00    0.2924620677E-01    0.2593179990E+00
    21.300    0.4700000000E-02    0.3951347685E+01    0.2005629659E+01    0.2799132926E+00    0.2148413020E+00    0.2252468632E+00    0.1172904419E+00    0.2563136317E+01    0.3455356475E+01    0.1746366606E+00    0.2886013669E-01    0.2588598495E+00
    21.400    0.4744419952E-02    0.3945600000E+01    0.2015300000E+01    0.2726000000E+00    0.2112000000E+00    0.2199000000E+00    0.1157000000E+00    0.2570700000E+01    0.3450600000E+01    0.1720000000E+00    0.2850000000E-01    0.2584000000E+00
    21.500    0.4800000000E-02    0.3939808890E+01    0.2024965922E+01    0.2655411850E+00    0.2075580847E+00    0.2146632569E+00    0.1140673876E+00    0.2578153099E+01    0.3445875365E+01    0.1694202813E+00    0.2815812424E-01    0.2579327000E+00
    21.600    0.4901126069E-02    0.3934000000E+01    0.2034600000E+01    0.2587000000E+00    0.2039000000E+00    0.2096000000E+00    0.1124000000E+00    0.2585500000E+01    0.3441200000E+01    0.1669000000E+00    0.2780000000E-01    0.2575000000E+00
    21.700    0.5000000000E-02    0.3928197608E+01    0.2044177565E+01    0.2520452378E+00    0.2002099445E+00    0.2047640897E+00    0.1106980703E+00    0.2592746710E+01    0.3436584766E+01    0.1644360986E+00    0.2740064173E-01    0.2571366000E+00
    21.800    0.5051075771E-02    0.3922399942E+01    0.2053700095E+01    0.2455999367E+00    0.1964999629E+00    0.2000999539E+00    0.1088999813E+00    0.2599900071E+01    0.3431999954E+01    0.1619999757E+00    0.2699999617E-01    0.2567999966E+00
    21.900    0.5100000000E-02    0.3916600512E+01    0.2063174091E+01    0.2393901818E+00    0.1927895305E+00    0.1955552524E+00    0.1069527776E+00    0.2606960264E+01    0.3427422939E+01    0.1595727545E+00    0.2663929763E-01    0.2564458905E+00
    22.000    0.5194570846E-02    0.3910800000E+01    0.2072600000E+01    0.2334000000E+00    0.1891000000E+00    0.1912000000E+00    0.1049000000E+00    0.2613900000E+01    0.3422900000E+01    0.1572000000E+00    0.2630000000E-01    0.2561000000E+00
    22.100    0.5300000000E-02    0.3905000185E+01    0.2081976334E+01    0.2276063602E+00    0.1854443312E+00    0.1871147726E+00    0.1027532683E+00    0.2620699931E+01    0.3418473350E+01    0.1549228160E+00    0.2595465742E-01    0.2557923281E+00
    22.200    0.5370640846E-02    0.3899200058E+01    0.2091299907E+01    0.2220000551E+00    0.1818000365E+00    0.1833000369E+00    0.1003000270E+00    0.2627399933E+01    0.3414100044E+01    0.1527000222E+00    0.2560000358E-01    0.2555000030E+00
    22.300    0.5400000000E-02    0.3893398907E+01    0.2100570318E+01    0.2165720279E+00    0.1781457447E+00    0.1797607571E+00    0.9737172280E-01    0.2634039830E+01    0.3409733782E+01    0.1504860419E+00    0.2524208246E-01    0.2551973049E+00
    22.400    0.5397865771E-02    0.3887600000E+01    0.2109800000E+01    0.2113000000E+00    0.1745000000E+00    0.1766000000E+00    0.9420000000E-01    0.2640600000E+01    0.3405400000E+01    0.1483000000E+00    0.2490000000E-01    0.2549000000E+00
    22.500    0.5400000000E-02    0.3881804352E+01    0.2118992127E+01    0.2061681865E+00    0.1708852952E+00    0.1739423053E+00    0.9073491951E-01    0.2647053058E+01    0.3401129150E+01    0.1461705803E+00    0.2458952308E-01    0.2546309609E+00
    22.600    0.5437896070E-02    0.3876000000E+01    0.2128100000E+01    0.2012000000E+00    0.1673000000E+00    0.1719000000E+00    0.8540000000E-01    0.2653400000E+01    0.3396900000E+01    0.1441000000E+00    0.2430000000E-01    0.2544000000E+00
    22.700    0.5500000000E-02    0.3870183685E+01    0.2137086174E+01    0.1964177272E+00    0.1637380746E+00    0.1706325270E+00    0.7723859444E-01    0.2659647937E+01    0.3392687120E+01    0.1420816374E+00    0.2401232527E-01    0.2542038516E+00
    22.800    0.5563049951E-02    0.3864399943E+01    0.2146000089E+01    0.1917999545E+00    0.1601999647E+00    0.1705000057E+00    0.6929993523E-01    0.2665800061E+01    0.3388499958E+01    0.1400999803E+00    0.2369999666E-01    0.2539999977E+00
    22.900    0.5600000000E-02    0.3858685742E+01    0.2154888433E+01    0.1873232742E+00    0.1566873049E+00    0.1715357612E+00    0.6482553583E-01    0.2671855368E+01    0.3384359751E+01    0.1381403137E+00    0.2334866647E-01    0.2537536266E+00
    23.000    0.5597404128E-02    0.3853000000E+01    0.2163700000E+01    0.1830000000E+00    0.1532000000E+00    0.1722653091E+00    0.6382025148E-01    0.2677800000E+01    0.3380300000E+01    0.1362000000E+00    0.2300000000E-01    0.2535000000E+00
    23.100    0.5600000000E-02    0.3847298188E+01    0.2172385339E+01    0.1788390503E+00    0.1497376086E+00    0.1708372240E+00    0.6547979716E-01    0.2683630759E+01    0.3376336259E+01    0.1342820536E+00    0.2269299943E-01    0.2532816355E+00
    23.200    0.5647333539E-02    0.3841600057E+01    0.2180999914E+01    0.1748000400E+00    0.1463000343E+00    0.1654000806E+00    0.6899988783E-01    0.2689399942E+01    0.3372400040E+01    0.1324000186E+00    0.2240000301E-01    0.2531000017E+00
    23.300    0.5700000000E-02    0.3835934160E+01    0.2189594975E+01    0.1708456336E+00    0.1428873546E+00    0.1552658213E+00    0.7357623848E-01    0.2695146440E+01    0.3368432819E+01    0.1305690228E+00    0.2209184381E-01    0.2529448360E+00
    23.400    0.5713261717E-02    0.3830300000E+01    0.2198100000E+01    0.1670000000E+00    0.1395000000E+00    0.1444000000E+00    0.7840456408E-01    0.2700800000E+01    0.3364500000E+01    0.1288000000E+00    0.2180000000E-01    0.2528000000E+00
    23.500    0.5700000000E-02    0.3824690333E+01    0.2206447013E+01    0.1632910304E+00    0.1361380713E+00    0.1367704034E+00    0.8268057959E-01    0.2706295816E+01    0.3360670080E+01    0.1270919086E+00    0.2155213420E-01    0.2526515255E+00
    23.600    0.5687119594E-02    0.3819100000E+01    0.2214700000E+01    0.1597000000E+00    0.1328000000E+00    0.1317000000E+00    0.8560000000E-01    0.2711700000E+01    0.3356900000E+01    0.1254000000E+00    0.2130000000E-01    0.2525000000E+00
    23.700    0.5700000000E-02    0.3813529506E+01    0.2222929473E+01    0.1562027455E+00    0.1294853604E+00    0.1276650715E+00    0.8662704993E-01    0.2717082796E+01    0.3353136862E+01    0.1236883429E+00    0.2099961943E-01    0.2523490622E+00
    23.800    0.5750759909E-02    0.3807999945E+01    0.2231100081E+01    0.1527999665E+00    0.1261999673E+00    0.1243999714E+00    0.8629999265E-01    0.2722400053E+01    0.3349399963E+01    0.1219999834E+00    0.2069999725E-01    0.2521999985E+00
    23.900    0.5800000000E-02    0.3802528984E+01    0.2239160330E+01    0.1494978913E+00    0.1229453930E+00    0.1218942272E+00    0.8531176835E-01    0.2727598152E+01    0.3345719864E+01    0.1203796720E+00    0.2044937983E-01    0.2520522213E+00
    24.000    0.5809840771E-02    0.3797100000E+01    0.2247100000E+01    0.1463000000E+00    0.1197000000E+00    0.1199000000E+00    0.8390000000E-01    0.2732700000E+01    0.3342100000E+01    0.1188000000E+00    0.2020000000E-01    0.2519000000E+00
    24.100    0.5800000000E-02    0.3791691906E+01    0.2254929433E+01    0.1432055966E+00    0.1164454779E+00    0.1181704399E+00    0.8218835966E-01    0.2737737239E+01    0.3338533578E+01    0.1172304237E+00    0.1990285407E-01    0.2517420484E+00
    24.200    0.5797377008E-02    0.3786300054E+01    0.2262699922E+01    0.1402000297E+00    0.1132000323E+00    0.1167000132E+00    0.8030001936E-01    0.2742699951E+01    0.3335000035E+01    0.1157000150E+00    0.1960000284E-01    0.2516000012E+00
    24.300    0.5800000000E-02    0.3780928541E+01    0.2270446727E+01    0.1372673033E+00    0.1099852844E+00    0.1155115480E+00    0.7833484810E-01    0.2747577755E+01    0.3331483420E+01    0.1142361744E+00    0.1933921199E-01    0.2514920888E+00
    24.400    0.5800651197E-02    0.3775600000E+01    0.2278100000E+01    0.1344000000E+00    0.1068000000E+00    0.1145000000E+00    0.7630000000E-01    0.2752400000E+01    0.3328000000E+01    0.1128000000E+00    0.1910000000E-01    0.2514000000E+00
    24.500    0.5800000000E-02    0.3770331584E+01    0.2285595936E+01    0.1316002754E+00    0.1036384772E+00    0.1135584055E+00    0.7419730324E-01    0.2757189098E+01    0.3324570342E+01    0.1113499215E+00    0.1885280588E-01    0.2513020999E+00
    24.600    0.5800018205E-02    0.3765100000E+01    0.2293000000E+01    0.1289000000E+00    0.1005000000E+00    0.1127000000E+00    0.7210000000E-01    0.2761900000E+01    0.3321200000E+01    0.1099000000E+00    0.1860000000E-01    0.2512000000E+00
    24.700    0.5800000000E-02    0.3759882622E+01    0.2300382030E+01    0.1263190955E+00    0.9738580682E-01    0.1119548310E+00    0.7007593890E-01    0.2766490854E+01    0.3317885212E+01    0.1084766396E+00    0.1834956451E-01    0.2510995116E+00
    24.800    0.5799275984E-02    0.3754699948E+01    0.2307700073E+01    0.1237999749E+00    0.9429996930E-01    0.1112999938E+00    0.6809998032E-01    0.2771000045E+01    0.3314599967E+01    0.1070999865E+00    0.1809999750E-01    0.2509999990E+00
    24.900    0.5800000000E-02    0.3749575280E+01    0.2314901153E+01    0.1212857705E+00    0.9124320717E-01    0.1106972527E+00    0.6613638477E-01    0.2775472617E+01    0.3311326216E+01    0.1057809811E+00    0.1784892888E-01    0.2508998509E+00
    25.000    0.5804301061E-02    0.3744500000E+01    0.2322000000E+01    0.1188000000E+00    0.8820000000E-01    0.1101000000E+00    0.6420000000E-01    0.2779900000E+01    0.3308100000E+01    0.1045000000E+00    0.1760000000E-01    0.2508000000E+00
    25.100    0.5811385613E-02    0.3739460457E+01    0.2329022635E+01    0.1163787167E+00    0.8515504317E-01    0.1094707420E+00    0.6231409932E-01    0.2784264039E+01    0.3304959925E+01    0.1032344838E+00    0.1735739883E-01    0.2507018438E+00
    25.200    0.5819729459E-02    0.3734454790E+01    0.2335972547E+01    0.1140277334E+00    0.8211013503E-01    0.1088168140E+00    0.6048507246E-01    0.2788561842E+01    0.3301900767E+01    0.1019806928E+00    0.1712148880E-01    0.2506060945E+00
    25.300    0.5827808404E-02    0.3729484083E+01    0.2342847590E+01    0.1117453030E+00    0.7907134963E-01    0.1081567583E+00    0.5871508828E-01    0.2792794331E+01    0.3298906347E+01    0.1007395922E+00    0.1689167718E-01    0.2505132931E+00
    25.400    0.5834098252E-02    0.3724549423E+01    0.2349645619E+01    0.1095296782E+00    0.7604476106E-01    0.1075091172E+00    0.5700631562E-01    0.2796962430E+01    0.3295960485E+01    0.9951214719E-01    0.1666737125E-01    0.2504239806E+00
    25.500    0.5837074807E-02    0.3719651895E+01    0.2356364489E+01    0.1073791119E+00    0.7303644339E-01    0.1068924331E+00    0.5536092334E-01    0.2801067062E+01    0.3293046999E+01    0.9829932296E-01    0.1644797829E-01    0.2503386981E+00
    25.600    0.5835213872E-02    0.3714792583E+01    0.2363002055E+01    0.1052918567E+00    0.7005247068E-01    0.1063252483E+00    0.5378108027E-01    0.2805109150E+01    0.3290149711E+01    0.9710208469E-01    0.1623290558E-01    0.2502579864E+00
    25.700    0.5826991252E-02    0.3709972574E+01    0.2369556172E+01    0.1032661655E+00    0.6709891701E-01    0.1058261052E+00    0.5226895527E-01    0.2809089618E+01    0.3287252440E+01    0.9592139758E-01    0.1602156039E-01    0.2501823866E+00
    25.800    0.5810882751E-02    0.3705192952E+01    0.2376024695E+01    0.1013002911E+00    0.6418185646E-01    0.1054135463E+00    0.5082671719E-01    0.2813009388E+01    0.3284339006E+01    0.9475822679E-01    0.1581335000E-01    0.2501124397E+00
    25.900    0.5785364172E-02    0.3700454803E+01    0.2382405478E+01    0.9939248633E-01    0.6130736308E-01    0.1051061137E+00    0.4945653487E-01    0.2816869385E+01    0.3281393228E+01    0.9361353753E-01    0.1560768169E-01    0.2500486866E+00
    26.000    0.5748911321E-02    0.3695759212E+01    0.2388696376E+01    0.9754100387E-01    0.5848151096E-01    0.1049223499E+00    0.4816057717E-01    0.2820670531E+01    0.3278398926E+01    0.9248829497E-01    0.1540396274E-01    0.2499916684E+00
    26.100    0.5700000000E-02    0.3691107265E+01    0.2394895245E+01    0.9574409655E-01    0.5571037417E-01    0.1048807972E+00    0.4694101294E-01    0.2824413749E+01    0.3275339921E+01    0.9138346431E-01    0.1520160042E-01    0.2499419260E+00
    26.200    0.5642267868E-02    0.3686500046E+01    0.2400999939E+01    0.9400001718E-01    0.5300002678E-01    0.1049999979E+00    0.4580001101E-01    0.2828099963E+01    0.3272200032E+01    0.9030001072E-01    0.1500000201E-01    0.2499000004E+00
